corr_similarity,marginal_fidelity,mia_auc,tstr_auc,tstr_ratio,epsilon,epsilon_label
0.9606208421590164,0.5288,1.0,0.5869652637362015,0.6501322108221538,0.1,0.1
0.8380548826483983,0.5651500000000002,1.0,0.7915201150890071,0.8767004695601442,0.5,0.5
0.8826494625906272,0.5491166666666667,1.0,0.849036299480627,0.9404063247900782,1.0,1.0
0.950835566658389,0.5492166666666667,1.0,0.8671577206486216,0.9604779036978253,2.0,2.0
0.967477844673918,0.54735,1.0,0.8745745048397419,0.9686928537149202,5.0,5.0
0.9653231733392521,0.5483833333333333,1.0,0.8765936599097186,0.9709293024977339,10.0,10.0
0.9655155353109173,0.5471666666666667,1.0,0.8648723656114953,0.9579466075299004,inf,∞
