name,KS_Complement,Correlation_Similarity,Detection_Score,Mean_Preservation,Std_Preservation,Overall
Faker,0,0.9887954339635924,1.016303366164665,0,0.9910188691171877,0.599223533849089
GaussianCopula,0,0.9931201676483836,1.0222685596085834,0,0.9824022332490716,0.5995581921012078
CTGAN,0,0.9647609442261111,0.46753024034310964,0,0.608145424967166,0.40808732190727737
MISATA,0,0.958516337265429,0.8139159342509348,0,0.9543949410434607,0.545365442511965
