training_data,accuracy,precision,recall,f1,roc_auc
Real (TRTR),0.9913333333333333,0.8850574712643678,0.6470588235294118,0.7475728155339806,0.9848808083001948
Faker (TSTR),0.9801666666666666,0.0,0.0,0.0,0.7189532163826252
GaussianCopula (TSTR),0.9801666666666666,0.0,0.0,0.0,0.5491241556986678
CTGAN (TSTR),0.942,0.24724061810154527,0.9411764705882353,0.3916083916083916,0.9829739411493216
MISATA (TSTR),0.9918333333333333,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9790094578896003
