generator,roc_auc,tstr_ratio,gap_to_real
Faker,0.7189532163826252,0.7299900762849326,0.26592759191756954
GaussianCopula,0.5491241556986678,0.5575539203027022,0.43575665260152696
CTGAN,0.9829739411493216,0.9980638599769608,0.0019068671508731816
MISATA,0.9790094578896003,0.9940385167818145,0.0058713504105945
