dataset,n_rows,n_cols,task,fit_time,gen_time,marginal_similarity,correlation_similarity,trtr_score,tstr_score,tstr_ratio,metric
Adult Census,32561,15,classification,1.9829349517822266,0.05079770088195801,0.9910421785421786,0.9924736886372872,0.9103299741031614,0.893154803228591,0.9811330271844656,ROC-AUC
California Housing,20640,9,regression,2.776082992553711,0.01723480224609375,0.9727874677002583,0.9224690868415618,0.8051230593157366,0.7354103342300129,0.9134135778635236,R²
Fraud Detection,50000,7,classification,2.0515692234039307,0.02214813232421875,0.9886285714285713,0.9993034332170271,1.0,0.9998148148148148,0.9998148148148148,ROC-AUC
