method,tstr,tstr_ratio
Standard,0.8336176045412875,0.9104028523416239
PCA90_FS20,0.8175931924758479,0.892902417643509
PCA95_FS30,0.8155856647979691,0.8907099748326337
PCA99_FS40,0.8207625960792609,0.8963637577892186
PCA95_FS54,0.8121556792539313,0.8869640503154794
