name,fit_time,gen_time,total_time,rows,rows_per_second,speedup
MISATA v2,0.08069396018981934,2.6472809314727783,2.7279748916625977,26048,9548.47498032679,76.51203876330236
GaussianCopula,9.282993078231812,0.0,9.282993078231812,26048,2805.9915353251045,22.484442129516374
CTGAN,208.72292065620422,0.0,208.72292065620422,26048,124.79702716935765,1.0
