noise_scale,pearson_corr,kendall_tau,corr_mae,mia_auc,mia_advantage,dcr_5th,tstr_auc,tstr_ratio
0.0,0.9629365375140618,0.79010989010989,0.025536585587702883,0.902167874127739,0.804335748255478,0.7178227242217879,0.9005290016368466,0.9974404737632878
0.1,0.9604671717720309,0.79010989010989,0.026018016977175137,1.0,1.0,0.7264879327647915,0.9029276332557389,1.0000972369036008
0.2,0.9577932773269333,0.7648351648351648,0.02710633984046876,1.0,1.0,0.7277695118302968,0.9011520228365588,0.9981305421114209
0.3,0.9530586651040869,0.7468864468864468,0.02817693371228409,1.0,1.0,0.7195310589949548,0.8993084464683193,0.9960885671358086
0.5,0.935997113039554,0.7084249084249084,0.03258913871617562,1.0,1.0,0.7284200979830384,0.8998833251207812,0.996725312020677
