name,accuracy,roc_auc,f1,tstr_ratio
Real (TRTR),0.8593582066635959,0.910987572480964,0.6858710562414266,1.0
MISATA v2,0.800706279748196,0.8091849631662574,0.41897940913160253,0.8882502765241248
GaussianCopula,0.7730692461231383,0.8027166819710696,0.13160987074030553,0.8811499807675403
CTGAN,0.8335636419468755,0.8679432946080353,0.5765625,0.9527498736830154
