name,accuracy,roc_auc,f1,tstr_ratio
Real (TRTR),0.8593582066635959,0.910987572480964,0.6858710562414266,1.0
MISATA v3 (Diffusion),0.790879778903731,0.825777751697241,0.33819241982507287,0.9064643433590819
