baseline,baseline_throughput,misata_throughput,speedup_x
Faker,936.076350037163,801343.9322299903,856.0668498869524
NumPy-Vectorized,471054.5216356488,801343.9322299903,1.7011702370406576
SDV-GaussianCopula,963.3374296057382,801343.9322299903,831.8413752053146
SDV-CTGAN,940.671681362156,801343.9322299903,851.8848266693755
Mesa-ABM,47262.46580907792,801343.9322299903,16.955186711313576
